date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:49:21	27142/27142	---M-Z	200	added ('OK')	text/html	etag:%223c61584-6a06-613ccd32d9fdc-gzip%22	https://bootstrapget.com/demos/cube-admin-template/form-file-input.html	C:/This%20New/cube/bootstrapget.com/demos/cube-admin-template/form-file-input.html	(from https://bootstrapget.com/demos/cube-admin-template/index.html)
14:49:22	37364/37364	---M-Z	200	added ('OK')	text/html	etag:%223c60023-91f4-613ccd32afff8-gzip%22	https://bootstrapget.com/demos/cube-admin-template/form-validations.html	C:/This%20New/cube/bootstrapget.com/demos/cube-admin-template/form-validations.html	(from https://bootstrapget.com/demos/cube-admin-template/index.html)
14:49:22	36543/36543	---M-Z	200	added ('OK')	text/html	etag:%223c60029-8ebf-613ccd32b03e0-gzip%22	https://bootstrapget.com/demos/cube-admin-template/date-time-pickers.html	C:/This%20New/cube/bootstrapget.com/demos/cube-admin-template/date-time-pickers.html	(from https://bootstrapget.com/demos/cube-admin-template/index.html)
14:49:22	24917/24917	---M-Z	200	added ('OK')	text/html	etag:%223c60022-6155-613ccd32afff8-gzip%22	https://bootstrapget.com/demos/cube-admin-template/input-tags.html	C:/This%20New/cube/bootstrapget.com/demos/cube-admin-template/input-tags.html	(from https://bootstrapget.com/demos/cube-admin-template/index.html)
14:49:22	32594/32594	---M-Z	200	added ('OK')	text/html	etag:%223c60034-7f52-613ccd32b0f98-gzip%22	https://bootstrapget.com/demos/cube-admin-template/input-masks.html	C:/This%20New/cube/bootstrapget.com/demos/cube-admin-template/input-masks.html	(from https://bootstrapget.com/demos/cube-admin-template/index.html)
14:49:23	24861/24861	---M-Z	200	added ('OK')	text/html	etag:%223c61595-611d-613ccd32daf7c-gzip%22	https://bootstrapget.com/demos/cube-admin-template/editor.html	C:/This%20New/cube/bootstrapget.com/demos/cube-admin-template/editor.html	(from https://bootstrapget.com/demos/cube-admin-template/index.html)
14:49:23	38829/38829	---M-Z	200	added ('OK')	text/html	etag:%223c60033-97ad-613ccd32b0bb0-gzip%22	https://bootstrapget.com/demos/cube-admin-template/form-layouts.html	C:/This%20New/cube/bootstrapget.com/demos/cube-admin-template/form-layouts.html	(from https://bootstrapget.com/demos/cube-admin-template/index.html)
14:49:23	35986/35986	---M-Z	200	added ('OK')	text/html	etag:%223c60021-8c92-613ccd32afc10-gzip%22	https://bootstrapget.com/demos/cube-admin-template/form-tabs.html	C:/This%20New/cube/bootstrapget.com/demos/cube-admin-template/form-tabs.html	(from https://bootstrapget.com/demos/cube-admin-template/index.html)
14:49:23	36408/36408	---M-Z	200	added ('OK')	text/html	etag:%223c60036-8e38-613ccd32b0f98-gzip%22	https://bootstrapget.com/demos/cube-admin-template/form-accordion.html	C:/This%20New/cube/bootstrapget.com/demos/cube-admin-template/form-accordion.html	(from https://bootstrapget.com/demos/cube-admin-template/index.html)
14:49:23	42905/42905	---M-Z	200	added ('OK')	text/html	etag:%223c61593-a799-613ccd32daf7c-gzip%22	https://bootstrapget.com/demos/cube-admin-template/form-wizard.html	C:/This%20New/cube/bootstrapget.com/demos/cube-admin-template/form-wizard.html	(from https://bootstrapget.com/demos/cube-admin-template/index.html)
